sourceCode,sourceName,sourceFrequency,sourceConceptId,sourceName_fi,sourceConceptClass,sourceDomain,sourceValidStartDate,sourceValidEndDate
2321,Secondary education teaching professionals,0,2002200204,Peruskoulun ja lukion lehtorit ja tuntiopettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
23211,Teachers in mathematical subjects,0,2002200205,Matemaattisten aineiden opettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
23212,Native language teachers,0,2002200206,ƒidinkielenopettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
23213,Foreign language teachers,0,2002200207,Kieltenopettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
23214,Arts and science teachers,0,2002200208,Humanististen ja luonnontieteellisten aineiden opettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
23215,Crafts and art teachers,0,2002200209,Taito- ja taideaineiden opettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
23219,Other secondary education teaching professionals,0,2002200210,Muut peruskoulun ja lukion lehtorit ja tuntiopettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
2322,College and polytechnic education teaching professionals,0,2002200211,Ammattikorkeakoulujen ja ammatillisten oppilaitosten opettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
23221,College and polytechnic head teachers and lectures,0,2002200212,Ammattikorkeakoulujen yliopettajat ja lehtorit,Profesiona Code,Provider,1970-01-01,2099-12-31
23222,Vocational and professional education institution lecturers,0,2002200213,Ammatillisten oppilaitosten lehtorit,Profesiona Code,Provider,1970-01-01,2099-12-31
2323,Teaching professionals not elsewhere classified,0,2002200214,Muiden oppilaitosten opettajat sek‰ yksityisopettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
233,Primary and pre-primary education teaching professionals,0,2002200215,Luokanopettajat ja lastentarhanopettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
2331,Primary education teaching professionals,0,2002200216,Luokanopettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
2332,Pre-primary education teaching professionals,0,2002200217,Lastentarhanopettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
234,Special education teaching professionals,0,2002200218,Erityisopettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
2340,Special education teaching professionals,0,2002200219,Erityisopettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
235,Other teaching professionals,0,2002200220,Muut opetusalan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2351,Education methods specialists,0,2002200221,Muut opettajat ja koulutussuunnittelijat,Profesiona Code,Provider,1970-01-01,2099-12-31
23511,"Training directors, training planners and trainers",0,2002200222,"Koulutusp‰‰llikˆt, -suunnittelijat ja kouluttajat",Profesiona Code,Provider,1970-01-01,2099-12-31
23512,Teachers of public speaking and presentation skills,0,2002200223,Puhe- ja esiintymistaidon opettajat,Profesiona Code,Provider,1970-01-01,2099-12-31
2352,School inspectors,0,2002200224,Tarkastajat ja opetusmenetelmien erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2359,Career counsellors,0,2002200225,Opinto-ohjaajat,Profesiona Code,Provider,1970-01-01,2099-12-31
24,Other professionals,0,2002200226,Muiden alojen erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
241,Business professionals,0,2002200227,Liike-el‰m‰n ja j‰rjestˆalan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2411,Accountants,0,2002200228,"Tilintarkastajat, kamreerit ym.",Profesiona Code,Provider,1970-01-01,2099-12-31
2412,Personnel and careers professionals,0,2002200229,Henkilˆstˆsuunnittelijat ym.,Profesiona Code,Provider,1970-01-01,2099-12-31
2419,Business professionals not elsewhere classified,0,2002200230,Muut liike-el‰m‰n ja j‰rjestˆalan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
24191,Advertising and marketing professionals,0,2002200231,Mainonnan ja markkinoinnin erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
24192,Public relations professionals,0,2002200232,Tiedottajat,Profesiona Code,Provider,1970-01-01,2099-12-31
24193,Consumer advisers and related professionals,0,2002200233,Kuluttajaneuvojat ym.,Profesiona Code,Provider,1970-01-01,2099-12-31
24194,Administrative professionals in organisations,0,2002200234,J‰rjestˆalan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
242,Legal professionals,0,2002200235,Lainopilliset erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2421,Lawyers,0,2002200236,Asianajajat ja syytt‰j‰t,Profesiona Code,Provider,1970-01-01,2099-12-31
2422,Judges,0,2002200237,Tuomioistuinlakimiehet,Profesiona Code,Provider,1970-01-01,2099-12-31
2429,Legal professionals not elsewhere classified,0,2002200238,Muut lainopilliset erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
243,"Archivists, librarians and related information professionals",0,2002200239,Arkiston- ja kirjastonhoitajat sek‰ museoalan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2431,Archivists and curators,0,2002200240,Arkistonhoitajat ja museoalan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
24311,Archivists,0,2002200241,Arkistonhoitajat,Profesiona Code,Provider,1970-01-01,2099-12-31
24312,Curators,0,2002200242,Museoalan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2432,Librarians and related information professionals,0,2002200243,"Kirjastonhoitajat, informaatikot ym.",Profesiona Code,Provider,1970-01-01,2099-12-31
244,Social science and related professionals,0,2002200244,Yhteiskunta- ja sosiaalialan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2441,Economists,0,2002200245,Ekonomistit,Profesiona Code,Provider,1970-01-01,2099-12-31
2442,"Sociologists, anthropologists and related professionals",0,2002200246,Yhteiskunta- ja kulttuuritutkijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2443,"Philosophers, historians and political scientists",0,2002200247,Historioitsijat ym.,Profesiona Code,Provider,1970-01-01,2099-12-31
2444,"Philologists, translators and interpreters",0,2002200248,"Kielentutkijat, k‰‰nt‰j‰t ja tulkit",Profesiona Code,Provider,1970-01-01,2099-12-31
2445,"Psychologists, psychotherapists and speech therapists",0,2002200249,"Psykologit, psykoterapeutit ja puheterapeutit",Profesiona Code,Provider,1970-01-01,2099-12-31
24451,Psychologists,0,2002200250,Psykologit,Profesiona Code,Provider,1970-01-01,2099-12-31
24452,Psychotherapists,0,2002200251,Psykoterapeutit,Profesiona Code,Provider,1970-01-01,2099-12-31
24453,Speech therapists,0,2002200252,Puheterapeutit,Profesiona Code,Provider,1970-01-01,2099-12-31
2446,Social work professionals,0,2002200253,Sosiaalialan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
24461,Social workers,0,2002200254,Sosiaalityˆntekij‰t,Profesiona Code,Provider,1970-01-01,2099-12-31
24462,Social planners,0,2002200255,Sosiaalialan suunnittelijat,Profesiona Code,Provider,1970-01-01,2099-12-31
245,Writers and creative or performing artists,0,2002200256,"Toimittajat, taiteilijat ym.",Profesiona Code,Provider,1970-01-01,2099-12-31
2451,"Authors, journalists and other writers",0,2002200257,"Toimittajat, kirjailijat ym.",Profesiona Code,Provider,1970-01-01,2099-12-31
24511,Managing editors,0,2002200258,P‰‰llikkˆtoimittajat,Profesiona Code,Provider,1970-01-01,2099-12-31
24512,"Journalists, editors and critics",0,2002200259,Lehden- ja kustannustoimittajat sek‰ kriitikot,Profesiona Code,Provider,1970-01-01,2099-12-31
24513,Radio and television journalists,0,2002200260,Radio- ja tv-toimittajat,Profesiona Code,Provider,1970-01-01,2099-12-31
24514,Advertising copywriters,0,2002200261,Mainostoimittajat,Profesiona Code,Provider,1970-01-01,2099-12-31
24515,Authors and dramaturgists,0,2002200262,Kirjailijat ja dramaturgit,Profesiona Code,Provider,1970-01-01,2099-12-31
2452,"Sculptors, painters and related artists",0,2002200263,"Kuvataiteilijat, taideteollisen alan suunnittelijat ym.",Profesiona Code,Provider,1970-01-01,2099-12-31
24521,Sculptors and painters,0,2002200264,Kuvataiteilijat,Profesiona Code,Provider,1970-01-01,2099-12-31
24522,Graphic designers,0,2002200265,Graafiset suunnittelijat,Profesiona Code,Provider,1970-01-01,2099-12-31
24523,Art and craft designers and related artists,0,2002200266,Taideteollisen alan suunnittelijat ja taiteilijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2453,"Composers, musicians and singers",0,2002200267,"Klassisen musiikin s‰velt‰j‰t, muusikot ja laulajat",Profesiona Code,Provider,1970-01-01,2099-12-31
2454,Choreographers and dancers,0,2002200268,Tanssitaiteilijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2455,"Film, stage and related actors and directors",0,2002200269,N‰yttelij‰t ja ohjaajat,Profesiona Code,Provider,1970-01-01,2099-12-31
24551,Actors,0,2002200270,N‰yttelij‰t,Profesiona Code,Provider,1970-01-01,2099-12-31
24552,Stage and film directors,0,2002200271,Teatteri- ja elokuvaohjaajat,Profesiona Code,Provider,1970-01-01,2099-12-31
246,Parish clergy and other religious professionals,0,2002200272,Papit ym. uskonnollisen el‰m‰n erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2460,Parish clergy and other religious professionals,0,2002200273,Papit ym. uskonnollisen el‰m‰n erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
247,Public service administrative professionals,0,2002200274,Julkisen alan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
2470,Public service administrative professionals,0,2002200275,Julkisen alan erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
24701,Central government professionals,0,2002200276,Valtionhallinnon erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
24702,Local government professionals,0,2002200277,Kunnallishallinnon erityisasiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
3,Technicians and associate professionals,0,2002200278,Asiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
31,Physical and engineering science associate professionals,0,2002200279,Luonnontieteen ja tekniikan asiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
311,"Physical, chemical and engineering science technicians",0,2002200280,"Fysiikan, kemian ja teknisten alojen asiantuntijat",Profesiona Code,Provider,1970-01-01,2099-12-31
3111,Chemical and physical science technicians,0,2002200281,Luonnontieteen tekniset asiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
3112,Civil engineering technicians,0,2002200282,Rakennusalan ja yhdyskuntarakentamisen asiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
31121,Building construction technicians,0,2002200283,Talonrakennusalan asiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
31122,Land use and civil engineering technicians,0,2002200284,Maank‰ytˆn ja yhdyskuntarakentamisen asiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
31123,Cartographic and surveying technicians,0,2002200285,Kartoituksen ja maanmittauksen asiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
3113,Electrical engineering technicians,0,2002200286,S‰hkˆtekniikan asiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
3114,Electronics and telecommunications technicians,0,2002200287,Elektroniikan ja informaatiotekniikan asiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
3115,Mechanical engineering technicians,0,2002200288,Konetekniikan asiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
3116,Wood processing and chemical engineering technicians,0,2002200289,Puunjalostuksen ja kemian prosessitekniikan asiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
3117,Mining and metallurgical technicians,0,2002200290,Vuoriteollisuuden prosessitekniikan asiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
3118,Draughtspersons,0,2002200291,Tekniset piirt‰j‰t,Profesiona Code,Provider,1970-01-01,2099-12-31
3119,Physical and engineering science technicians not elsewhere classified,0,2002200292,Mekaanisen mets‰teollisuuden ym. tekniikan asiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
31191,Mechanical forest industry technicians,0,2002200293,Mekaanisen mets‰teollisuuden tekniikan asiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
31192,Printing technicians,0,2002200294,Graafisen tekniikan asiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
31193,Textile and clothing technicians,0,2002200295,Tekstiili- ja vaatetusalan tekniikan asiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
31199,Other physical and engineering science technicians not elsewhere classified,0,2002200296,Muut teknisten alojen asiantuntijat,Profesiona Code,Provider,1970-01-01,2099-12-31
312,Computer associate professionals,0,2002200297,"Tietotekniikan tukihenkilˆt, operaattorit ym.",Profesiona Code,Provider,1970-01-01,2099-12-31
3120,"Computer assistants, computer equipment operators and related associate professionals",0,2002200298,"Tietotekniikan tukihenkilˆt, operaattorit ym.",Profesiona Code,Provider,1970-01-01,2099-12-31
313,Optical and electronic equipment operators,0,2002200299,Optisten ja elektronisten laitteiden k‰ytt‰j‰t,Profesiona Code,Provider,1970-01-01,2099-12-31
3131,Photographers and image and sound recording equipment operators,0,2002200300,"Kuvaajat, kuvanauhoittajat ja ‰‰nitt‰j‰t",Profesiona Code,Provider,1970-01-01,2099-12-31
3132,Broadcasting and telecommunications equipment operators,0,2002200301,Radio- ja tv-tarkkailijat,Profesiona Code,Provider,1970-01-01,2099-12-31
